# Name lon lat v_east v_north v_up e_east e_north e_up 
BTON 288.513 -30.263 -0.4263153438120994 -0.203714550105097 -0.13102470664218716 0.004935683234234942 0.004678575578289168 0.011454369023284486 
CERN 289.071 -32.558 -0.06866586641759131 0.021646728412937407 -0.014889471285347722 0.007671381514868424 0.007324170121066827 0.014214906226391813 
CMBA 289.001 -31.188 -0.8206274131961421 0.009044860341130037 -0.1379044791504162 0.004226245831078594 0.004286671071334084 0.010159359024922902 
CNBA 288.542 -31.398 -1.1961993213130124 -0.005572548531257384 0.019417020740278353 0.005728779914396245 0.006435784264965386 0.014840656879520511 
CRZL 288.59 -29.102 -0.030559236260225255 -0.0049482874002645845 -0.022090220116276316 0.004341232672708294 0.0051463144348258315 0.011511432526294567 
DGF1 289.338 -33.457 -0.01325 0.008 -0.00711 0.00258 0.00257 0.00816 
JUNT 289.906 -29.977 -0.11986486894654878 -0.07066292453838938 -0.022998989091586236 0.005532789633491351 0.005258243867435113 0.016473356121936154 
LSCH 288.754 -29.908 -0.1545740994271903 -0.08830673351995397 -0.05185532735552071 0.0063536192348501 0.006390519469894815 0.012234536036676508 
LVIL 288.486 -31.909 -0.28196444908595525 0.04772509359270388 -0.09143329970786153 0.006368205752528928 0.009770319733937174 0.014844184906186426 
MZAC 291.124 -32.895 -0.03543 0.01154 0.00186 0.00207 0.0021 0.0061 
MZAL 291.405 -32.721 -0.03531 0.00966 0.00355 0.00248 0.00254 0.00825 
MZAU 290.882 -33.736 -0.01567 0.00804 0.00256 0.0021 0.00216 0.00605 
OVLL 288.796 -30.604 -0.7057608202064094 -0.2184642677662484 -0.14006323798951797 0.006082561773542395 0.006222448587263914 0.011003846480380008 
PEDR 289.311 -30.839 -0.5121469485829674 -0.1014809438507241 -0.041744313660748676 0.0038855863832305956 0.004641024828610345 0.00915264048961557 
PFRJ 288.365 -30.675 -1.4085582376970762 -0.24614875381957307 -0.26556895418145143 0.005119599962673051 0.004483624115439218 0.011862932761475925 
RCSD 288.387 -33.654 -0.00299 -0.00357 -0.00707 0.00213 0.00217 0.00621 
SANT 289.331 -33.15 -0.02289 0.01575 -0.0063 0.00176 0.00184 0.00438 
SLMC 289.037 -31.777 -0.35616778799978643 0.11846565287908328 -0.06853399534896774 0.004281322743853548 0.004794397313503501 0.009612955173319294 
TAMR 289.765 -27.594 -0.00744 -0.00339 0.00068 0.0024 0.00224 0.0078 
TOLO 289.194 -30.17 -0.2402193319411949 -0.11070134238966113 -0.018594057552632187 0.004417322488383874 0.004753642861501207 0.010246167427850124 
VALL 289.236 -28.572 -0.01769 -0.01122 0.00084 0.0029 0.00269 0.0102 
VALN 288.365 -33.028 0.02109595429032067 -0.015424943049431818 -0.02746713428946352 0.0050871673316758605 0.006656137334284156 0.012676411937290903 
ZAPA 288.534 -32.553 0.0169177909825036 -0.01548751268323969 -0.03549282376725314 0.008132855275965176 0.012171151653592706 0.019301391968374923 
